ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount,create_time
000147.SH,20250819,7128.2352,7114.3313,7215.6296,7113.2588,7093.8491,34.3861,0.4847,12815971.0,46889050.1,2025-08-19 15:05:12
000148.SH,20250819,9417.5076,9482.6069,9578.4941,9411.257,9477.8539,-60.3463,-0.6367,63182796.0,152463330.6,2025-08-19 15:05:12
000149.SH,20250819,4079.834,4089.0503,4099.2779,4071.9326,4087.5252,-7.6912,-0.1882,37215828.0,38381346.8,2025-08-19 15:05:12
000150.SH,20250819,11811.6189,11820.2811,11834.6999,11778.402,11822.7334,-11.1145,-0.094,7450100.0,5116589.8,2025-08-19 15:05:12
000151.SH,20250819,1556.952,1557.3185,1560.9502,1553.6097,1557.6877,-0.7357,-0.0472,26146909.0,22491918.9,2025-08-19 15:05:12
000152.SH,20250819,2869.3074,2864.2832,2875.0355,2861.4917,2857.3912,11.9162,0.417,39578698.0,36617064.6,2025-08-19 15:05:12
000153.SH,20250819,3101.0403,3100.1988,3107.1718,3088.5375,3101.0193,0.021,0.0007,4780391.0,4464944.1,2025-08-19 15:05:12
000155.SH,20250819,3062.9504,3085.4126,3102.6426,3060.4706,3081.1829,-18.2325,-0.5917,114157535.0,259791096.7,2025-08-19 15:05:12
000158.SH,20250819,1200.2625,1207.2377,1209.7539,1197.1941,1207.7799,-7.5174,-0.6224,15697029.0,24474157.5,2025-08-19 15:05:12
000159.SH,20250819,3423.809,3436.0929,3449.9878,3417.6811,3434.5815,-10.7725,-0.3136,578005565.0,897446454.8,2025-08-19 15:05:12
000160.SH,20250819,1892.3685,1909.0298,1918.503,1890.2073,1902.7664,-10.3979,-0.5465,73183086.0,67145622.8,2025-08-19 15:05:12
000161.SH,20250819,1607.0613,1619.1105,1622.0646,1604.8298,1616.1107,-9.0494,-0.5599,57246627.0,132116706.2,2025-08-19 15:05:12
000162.SH,20250819,3706.8919,3687.1945,3734.5965,3679.8583,3687.3922,19.4997,0.5288,29895365.0,73088981.0,2025-08-19 15:05:12
000170.SH,20250819,5828.9359,5895.9076,5932.4694,5826.0548,5879.1042,-50.1683,-0.8533,38487753.0,114233128.1,2025-08-19 15:05:12
000171.CSI,20250819,1496.651,1498.1654,1526.8735,1490.091,1500.8278,-4.1768,-0.2783,48797623.0,226798188.3,2025-08-19 15:11:41
000300.SH,20250819,4223.3741,4241.7651,4264.2303,4215.2075,4239.4125,-16.0384,-0.3783,250818771.0,553536203.3,2025-08-19 15:05:12
000510.CSI,20250819,5016.8246,5040.9096,5068.2609,5006.3561,5038.681,-21.8564,-0.4338,373048402.0,764119410.3,2025-08-19 15:11:41
000510.SH,20250819,5016.8246,5040.9096,5068.2609,5006.3561,5038.681,-21.8564,-0.4338,373048402.0,764119410.3,2025-08-19 15:05:12
000680.SH,20250819,1445.7528,1455.2733,1465.1622,1442.0662,1457.4094,-11.6566,-0.7998,53507818.0,228541514.8,2025-08-19 15:05:12
000681.SH,20250819,1396.6154,1405.8124,1415.3652,1393.0542,1407.8794,-11.264,-0.8001,53507818.0,228541514.8,2025-08-19 15:05:12
000682.SH,20250819,1556.5941,1568.941,1585.3378,1555.3026,1574.0372,-17.4431,-1.1082,7742450.0,60263883.8,2025-08-19 15:05:12
