TS_CODE,EXCHANGE,NAME,CLOSE,PCT_CHG,AMOUNT,FLOAT_MV,TOTAL_MV,TURNOVER_RATIO,LIMIT_TIMES,FIRST_TIME,LAST_TIME,FD_AMOUNT,OPEN_TIMES,INDUSTRY,UP_STAT,LIMIT,TRADE_DATE,PE,LIMIT_AMOUNT,SWING
600410.SH,SH,华胜天成,22.75,10.009671211242676,9134776320,24945254038.25,24945254152.0,37.29685592651367,2.0,101704.0,143843.0,175282107.0,2,互联网服,6/9,U,20250819,,,
002161.SZ,SZ,远 望 谷,9.31,10.047281265258789,804479504,6642306120.240001,6887141468.4800005,12.569109916687012,1.0,101942.0,101942.0,94886021.0,0,电子元件,1/1,U,20250819,,,
600839.SH,SH,四川长虹,11.67,9.990574836730957,5799236096,53856567223.77,53871570094.08,11.21433162689209,1.0,102426.0,102426.0,478592359.0,0,家电行业,1/1,U,20250819,,,
600076.SH,SH,康欣新材,2.97,10.0,335064736,3993293799.9900002,3993293779.2000003,8.771461486816406,1.0,102646.0,102646.0,43713190.0,0,装修建材,2/3,U,20250819,,,
605303.SH,SH,园林股份,15.05,10.014619827270508,235610205,2426622990.4,2426622990.4,10.342413902282715,2.0,103502.0,103502.0,84472038.0,0,工程建设,2/2,U,20250819,,,
002343.SZ,SZ,慈文传媒,9.57,10.0,1174898960,4545268495.02,4545268437.6,26.791561126708984,2.0,103603.0,103603.0,79938975.0,0,文化传媒,2/2,U,20250819,,,
605028.SH,SH,世茂能源,22.2,10.009910583496094,236630903,3552000000.0,3552000000.0,6.9870805740356445,1.0,104551.0,104630.0,111874036.0,1,电力行业,1/1,U,20250819,,,
300642.SZ,SZ,透景生命,23.09,20.010395050048828,644862176,3179653844.94,3753418986.69,21.61394500732422,1.0,104754.0,104754.0,95268624.0,0,医疗器械,1/1,U,20250819,,,
603038.SH,SH,华立股份,15.9,10.034602165222168,519852256,4271965985.4,4271965953.6,12.482426643371582,1.0,105043.0,131313.0,41399593.0,3,装修装饰,1/1,U,20250819,,,
603219.SH,SH,富佳股份,20.68,10.0,588199616,11609752000.0,11609752000.0,5.224538803100586,1.0,105203.0,112754.0,11478640.0,1,家电行业,1/1,U,20250819,,,
002553.SZ,SZ,南方精工,30.0,10.011000633239746,1550215904,7524000000.0,10440000000.0,21.777055740356445,1.0,105409.0,105409.0,160916880.0,0,汽车零部件,1/1,U,20250819,,,
603192.SH,SH,汇得科技,27.45,10.020039558410645,395903168,3806400009.15,3874668159.15,10.889852523803711,2.0,105720.0,112705.0,9731574.0,5,化学制品,2/2,U,20250819,,,
603213.SH,SH,镇洋发展,15.29,10.0,243165389,6755252301.379999,6755252393.12,3.7232167720794678,1.0,110408.0,110408.0,31729028.0,0,化学原料,1/1,U,20250819,,,
002062.SZ,SZ,宏润建设,7.28,9.969788551330566,648461184,8187786137.440001,9007332122.880001,8.18147087097168,1.0,111051.0,112915.0,60227672.0,1,工程建设,1/1,U,20250819,,,
603657.SH,SH,春光科技,38.7,10.005684852600098,176653746,5231854935.0,5231854935.0,3.5173778533935547,1.0,111802.0,111802.0,65302380.0,0,家电行业,1/1,U,20250819,,,
002510.SZ,SZ,天汽模,7.6,9.985527992248535,1510128576,7636836789.599999,7715054150.4,20.58586883544922,1.0,112139.0,130551.0,60181360.0,1,汽车零部件,1/1,U,20250819,,,
603115.SH,SH,海星股份,18.9,10.011641502380371,339760096,4571728560.0,4571728560.0,7.751969814300537,1.0,112802.0,112802.0,24853500.0,0,电子元件,1/1,U,20250819,,,
601689.SH,SH,拓普集团,54.79,9.997992515563965,5858276352,95216011428.2,95216011647.36,6.34462833404541,1.0,130020.0,144114.0,100107082.0,6,汽车零部件,1/1,U,20250819,,,
605376.SH,SH,博迁新材,46.24,9.990485191345215,502129744,12096384000.0,12096384000.0,4.305119037628174,1.0,130124.0,130124.0,76038396.0,0,小金属,1/1,U,20250819,,,
688381.SH,SH,帝奥微,29.76,20.0,922490320,5462340864.0,7365600000.0,17.940670013427734,1.0,130444.0,134708.0,38129613.0,3,半导体,1/1,U,20250819,,,
300536.SZ,SZ,农尚环境,11.63,20.020639419555664,391409008,3410535181.2000003,3410940928.6400003,12.567073822021484,1.0,130530.0,130530.0,47760397.0,0,工程建设,1/1,U,20250819,,,
002445.SZ,SZ,中南文化,2.64,10.0,887696240,6247245768.72,6274243895.04,14.510140419006348,1.0,130936.0,142839.0,12863360.0,10,通用设备,1/1,U,20250819,,,
002283.SZ,SZ,天润工业,6.99,10.078740119934082,842523584,7014649738.71,7964805716.16,12.355443000793457,1.0,130948.0,135551.0,18305614.0,6,汽车零部件,1/1,U,20250819,,,
002600.SZ,SZ,领益智造,12.24,9.97304630279541,7297420544,84452182392.96,85780147875.84,9.03608512878418,2.0,131112.0,135545.0,187230751.0,5,消费电子,2/2,U,20250819,,,
002382.SZ,SZ,蓝帆医疗,6.74,9.95106029510498,495273008,6737945755.84,6788052641.280001,7.556297779083252,1.0,132533.0,143136.0,19845451.0,1,医疗器械,1/1,U,20250819,,,
000617.SZ,SZ,中油资本,9.72,9.954751014709473,5610400512,122881008647.88,122881007646.72,4.73016881942749,1.0,134442.0,142712.0,117476892.0,4,多元金融,1/1,U,20250819,,,
603336.SH,SH,宏辉果蔬,9.17,9.952038764953613,317354992,5230562938.16,5230563011.5199995,6.2076592445373535,1.0,134917.0,134917.0,44131055.0,0,农牧饲渔,1/1,U,20250819,,,
603339.SH,SH,四方科技,16.04,10.013717651367188,637795184,4963436447.0,4963436334.719999,13.427000045776367,2.0,135112.0,135112.0,20283141.0,0,通用设备,2/2,U,20250819,,,
600619.SH,SH,海立股份,24.99,9.99119758605957,4504487424,19721478202.02,26822876556.0,23.56141471862793,1.0,140007.0,142155.0,61156602.0,8,家电行业,6/10,U,20250819,,,
605337.SH,SH,李子园,14.05,10.023492813110352,415968400,5480930908.2,5480930852.0,7.932647228240967,1.0,140604.0,140604.0,23092158.0,0,食品饮料,1/1,U,20250819,,,
300328.SZ,SZ,宜安科技,16.98,20.0,2838544400,11654528215.5,11723392728.0,26.400056838989258,1.0,140800.0,150000.0,22315523.0,4,小金属,1/1,U,20250819,,,
002428.SZ,SZ,云南锗业,25.82,10.012782096862793,2776157296,16861379837.5,16863558400.0,17.227046966552734,1.0,141721.0,144121.0,218983886.0,2,小金属,1/1,U,20250819,,,
001306.SZ,SZ,夏厦精密,110.57,9.99800968170166,515505008,1713835000.0,6949390842.0,31.736083984375,1.0,143951.0,143951.0,66552083.0,0,通用设备,1/1,U,20250819,,,
601138.SH,SH,工业富联,48.91,10.008996963500977,12733532416,971263684603.5099,971326556403.2,1.3749688863754272,1.0,144409.0,145648.0,54553040.0,4,消费电子,1/1,U,20250819,,,
600990.SH,SH,四创电子,35.07,10.00627326965332,1405839328,9434275248.72,9506602213.92,15.626175880432129,2.0,145206.0,145206.0,36137811.0,0,通信设备,2/2,U,20250819,,,
603579.SH,SH,荣泰健康,37.53,-10.0,696097152,6657741723.33,6657741723.33,10.221968650817871,1.0,,145214.0,4039166.0,0,家电行业,,D,20250819,37.880706787109375,22055254.0,
603221.SH,SH,爱丽家居,15.17,-9.97032642364502,673442576,3675235900.0,3710278600.0,17.5054931640625,1.0,,142406.0,13158458.0,6,塑料制品,,D,20250819,41.836483001708984,230530905.0,
603800.SH,SH,洪田股份,48.49,-10.003711700439453,1320350784,10085920000.0,10085920000.0,12.582879066467285,1.0,,144446.0,14075337.0,2,专用设备,,D,20250819,-99.8657455444336,81335137.0,
603757.SH,SH,大元泵业,46.67,-9.9903564453125,1302745584,7688767178.43,7688767178.43,16.559537887573242,1.0,,145247.0,26495585.0,4,通用设备,,D,20250819,49.01894760131836,126762201.0,
603516.SH,SH,淳中科技,114.02,-10.000789642333984,2253455776,23176421131.579998,23176421131.579998,9.52966022491455,1.0,,144519.0,65459110.0,11,计算机设,,D,20250819,-399.14544677734375,1424545465.0,
601609.SH,SH,金田股份,13.41,7.023144721984863,5481466880,22846464528.3,22758409882.08,24.054332733154297,,92504.0,,,3,有色金属,4/5,Z,20250819,,,7.821228981018066
000880.SZ,SZ,潍柴重机,53.21,1.6622086763381958,1864910304,8628640020.0,17629569551.68,20.758832931518555,,93000.0,,,2,通用设备,0/0,Z,20250819,,,9.400076866149902
002376.SZ,SZ,新北洋,8.4,4.34782600402832,1042648800,6614702262.0,6808725369.6,15.45398998260498,,93018.0,,,1,计算机设,0/0,Z,20250819,,,6.08695650100708
600749.SH,SH,西藏旅游,29.49,0.16983695328235626,2107950112,6693213096.33,6693213096.33,29.95573616027832,,93120.0,,,3,旅游酒店,1/2,Z,20250819,,,10.42798900604248
