ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount
000132.SH,20250818,5592.6855,5581.2224,5629.2449,5557.374,5558.2363,34.4492,0.6198,18290431.0,51947944.233
000133.SH,20250818,6145.2241,6065.7844,6160.9301,6054.5924,6039.9564,105.2677,1.7429,30800410.0,60518136.219
000134.SH,20250818,1074.3789,1068.9833,1076.1959,1064.2279,1071.1142,3.2647,0.3048,37036080.0,31398785.119
000135.SH,20250818,5894.9867,5876.0219,5959.1102,5829.8734,5829.1723,65.8144,1.1291,44495701.0,160404854.945
000136.SH,20250818,11906.6231,11993.0788,12001.3496,11885.721,11966.6573,-60.0342,-0.5017,66569503.0,72320589.044
000137.SH,20250818,5449.6547,5398.8235,5491.704,5351.846,5349.9624,99.6923,1.8634,24050626.0,83743486.537
000138.SH,20250818,7819.3028,7838.2014,7858.3768,7799.9951,7813.817,5.4858,0.0702,33224480.0,38373132.111
000141.SH,20250818,3652.4348,3621.5952,3682.3862,3595.9783,3593.4944,58.9404,1.6402,79002713.0,156262163.568
000142.SH,20250818,9200.6945,9198.1076,9246.4227,9164.8205,9173.2005,27.494,0.2997,63768808.0,78731675.759
000145.SH,20250818,6303.5029,6342.3434,6354.6067,6249.3062,6267.5678,35.9351,0.5734,36644876.0,69459151.994
000146.SH,20250818,6908.6083,6901.7076,6958.8012,6880.2,6866.5336,42.0747,0.6128,30114001.0,62610853.334
000147.SH,20250818,7093.8491,7058.3946,7122.5417,7058.3946,7036.845,57.0041,0.8101,11035437.0,39049432.392
000148.SH,20250818,9477.8539,9397.4546,9541.3594,9394.0783,9364.8426,113.0113,1.2068,76872324.0,166772212.064
000149.SH,20250818,4087.5252,4109.1618,4110.5426,4076.9635,4091.5526,-4.0274,-0.0984,43640127.0,47529732.486
000150.SH,20250818,11822.7334,11902.145,11913.8542,11801.7446,11868.9679,-46.2345,-0.3895,11479075.0,7987680.251
000151.SH,20250818,1557.6877,1569.9896,1570.4785,1555.418,1562.0895,-4.4018,-0.2818,31268782.0,28715970.759
000152.SH,20250818,2857.3912,2864.2661,2868.0129,2849.9154,2847.1458,10.2454,0.3598,43209879.0,39526196.846
000153.SH,20250818,3101.0193,3110.2081,3118.5317,3093.2039,3099.6029,1.4164,0.0457,6701739.0,6435810.783
000155.SH,20250818,3081.1829,3082.1733,3105.6448,3068.2532,3070.6389,10.544,0.3434,127099730.0,270290216.863
