ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount
000510.CSI,20250820,5075.2184,4999.3622,5075.4888,4977.9743,5016.8246,58.3938,1.164,379709092.0,745202527.2
000510.SH,20250820,5075.2184,4999.3622,5075.4888,4977.9743,5016.8246,58.3938,1.164,379709092.0,745202527.2
000680.SH,20250820,1472.3759,1438.0991,1472.4024,1426.0021,1445.7528,26.6231,1.8415,52132048.0,225506355.9
000681.SH,20250820,1422.2588,1389.1487,1422.2844,1377.4634,1396.6154,25.6434,1.8361,52132048.0,225506355.9
000682.SH,20250820,1619.4605,1549.645,1620.5335,1541.3058,1556.5941,62.8664,4.0387,9416636.0,73364593.6
000683.SH,20250820,1239.3222,1238.5688,1248.0287,1214.8451,1242.7075,-3.3853,-0.2724,2880823.0,15018110.1
000685.SH,20250820,2063.7843,1961.4514,2065.6321,1948.083,1970.4065,93.3778,4.739,8040956.0,74045178.6
000687.SH,20250820,1211.4599,1196.439,1212.0351,1184.6529,1199.2304,12.2295,1.0198,6652866.0,22441904.0
000688.SH,20250820,1148.1469,1109.7012,1148.7356,1105.274,1112.2662,35.8807,3.2259,10004872.0,65459161.5
000689.SH,20250820,1028.1978,1011.8917,1028.4158,1000.5232,1015.4376,12.7602,1.2566,5066916.0,17404911.8
000690.SH,20250820,1457.0746,1413.4264,1458.1081,1403.1401,1425.5683,31.5063,2.2101,5963304.0,53091260.0
000691.SH,20250820,1239.7308,1208.8719,1240.6888,1200.2196,1210.7353,28.9955,2.3949,7146809.0,42759962.9
000692.SH,20250820,1023.7378,1015.9183,1023.8482,998.1929,1012.984,10.7538,1.0616,6606316.0,14943881.5
000693.SH,20250820,1315.3947,1294.6331,1315.3947,1283.8528,1297.434,17.9607,1.3843,5561587.0,17992104.8
000695.SH,20250820,921.9595,891.4967,923.9349,885.6188,893.4314,28.5281,3.1931,7556711.0,40500830.7
000697.SH,20250820,1221.8127,1194.5251,1222.3369,1182.2988,1202.0604,19.7523,1.6432,5827410.0,22754394.6
000698.SH,20250820,1303.0913,1269.1491,1303.6239,1255.5925,1275.4542,27.6371,2.1668,12547253.0,54699043.0
000699.SH,20250820,1244.5584,1233.2626,1244.5584,1211.4248,1243.5502,1.0082,0.0811,18207435.0,66673453.9
000802.SH,20250820,7029.2112,6904.8982,7030.2364,6886.0205,6926.5115,102.6997,1.4827,135478496.0,188374065.5
000805.CSI,20250820,5502.0885,5427.6909,5520.1076,5425.6739,5454.4068,47.6817,0.8742,36684128.0,62009708.1
000806.CSI,20250820,8757.5499,8612.2506,8758.0554,8590.4087,8640.9673,116.5826,1.3492,65410492.0,168955703.9
000807.CSI,20250820,19756.1448,19391.1059,19782.8298,19324.1303,19449.6079,306.5369,1.5761,11173342.0,43823012.2
000808.CSI,20250820,9224.6764,9128.8268,9224.8461,9058.4542,9162.9646,61.7118,0.6735,20298864.0,59796283.8
000811.CSI,20250820,7859.2077,7723.9991,7921.4698,7720.4739,7779.6937,79.514,1.0221,39218742.0,73416222.0
000811.SH,20250820,7859.2077,7723.9991,7921.4698,7720.4739,7779.6937,79.514,1.0221,39218742.0,73416222.0
000812.CSI,20250820,6305.0557,6239.6119,6306.9949,6185.4768,6236.3689,68.6868,1.1014,28821182.0,64127054.2
000812.SH,20250820,6305.0557,6239.6119,6306.9949,6185.4768,6236.3689,68.6868,1.1014,28821182.0,64127054.2
000813.CSI,20250820,2995.9666,2936.9255,2995.9666,2931.1806,2942.3509,53.6157,1.8222,20273222.0,32132238.8
000813.SH,20250820,2995.9666,2936.9255,2995.9666,2931.1806,2942.3509,53.6157,1.8222,20273222.0,32132238.8
000814.SH,20250820,9065.4602,8959.9732,9065.4602,8888.089,8999.5653,65.8949,0.7322,10090035.0,37811103.4
000815.CSI,20250820,20470.3288,20085.1455,20496.3508,20017.621,20143.622,326.7068,1.6219,12112626.0,43670436.8
000815.SH,20250820,20470.3288,20085.1455,20496.3508,20017.621,20143.622,326.7068,1.6219,12112626.0,43670436.8
000819.SH,20250820,6520.5895,6417.4095,6581.4861,6415.7505,6462.2485,58.341,0.9028,37945004.0,75940147.8
