TS_CODE,EXCHANGE,NAME,CLOSE,PCT_CHG,AMOUNT,FLOAT_MV,TOTAL_MV,TURNOVER_RATIO,LIMIT_TIMES,FIRST_TIME,LAST_TIME,FD_AMOUNT,OPEN_TIMES,INDUSTRY,UP_STAT,LIMIT,TRADE_DATE,PE,LIMIT_AMOUNT,SWING
002158.SZ,SZ,汉钟精机,26.24,10.020964622497559,1909049184,14001720389.759998,14031161538.56,14.317273139953613,4.0,141236.0,141236.0,72943106.0,0,通用设备,4/4,U,20250820,,,
600722.SH,SH,金牛化工,6.8,10.032362937927246,684973216,4626173796.8,4626173824.0,15.49111557006836,1.0,141418.0,141418.0,42496695.0,0,化学原料,1/1,U,20250820,,,
600864.SH,SH,哈投股份,8.24,10.013350486755371,1908016464,17143901084.800001,17143901150.720001,11.486322402954102,1.0,141619.0,142622.0,99332788.0,2,证券,1/1,U,20250820,,,
002281.SZ,SZ,光迅科技,60.5,10.0,4856988160,47168113157.0,48814531480.0,10.855448722839355,1.0,141627.0,141627.0,165842600.0,0,通信设备,1/1,U,20250820,,,
002468.SZ,SZ,申通快递,19.01,10.011573791503906,1063039456,27891471353.660004,29100549061.600002,3.938311815261841,1.0,141806.0,141806.0,49021714.0,0,物流行业,1/1,U,20250820,,,
600658.SH,SH,电子城,8.48,9.987030029296875,1415926432,9485601181.6,9485601139.2,15.608946800231934,2.0,142035.0,142035.0,67324543.0,0,房地产服务,5/7,U,20250820,,,
603101.SH,SH,汇嘉时代,9.46,10.0,451901024,4449984000.0,4449984000.0,10.585471153259277,1.0,142338.0,143423.0,8471940.0,3,商业百货,1/1,U,20250820,,,
603222.SH,SH,济民健康,11.86,10.018552780151367,1827833088,6227574693.9,6227574610.88,31.30728530883789,5.0,143606.0,143639.0,63075749.0,1,化学制药,5/5,U,20250820,,,
603002.SH,SH,宏昌电子,9.03,9.98781967163086,1088734112,10240728936.269999,10240728963.359999,11.376311302185059,1.0,143817.0,143847.0,24021606.0,1,电子化学,2/4,U,20250820,,,
603013.SH,SH,亚普股份,23.93,10.022988319396973,336565744,12266500387.52,12266500387.52,2.8772377967834473,1.0,144708.0,144708.0,54718338.0,0,汽车零部件,1/1,U,20250820,,,
